IS_SARCASTIC,TEXT,NO_TAGS,USERNAME,DATE
1,графіки виживання тритонів і піраміди смертності білана капустяного такі цікааааві! /*сарказм*/ хочу спати.,графіки виживання тритонів і піраміди смертності білана капустяного такі цікааааві!,__freecafe__,2011-11-23 13:44:53+00:00
1,@lovemyself_not оні ти мене заблокуєш я люблю каєбед вони мій фав пейрінг😞/сарк,@lovemyself_not оні ти мене заблокуєш я люблю каєбед вони мій фав пейрінг😞,__k1t___,2023-02-08 16:47:21+00:00
1,@k1207h03 я броньована бля😎/сарк,@k1207h03 я броньована бля😎,__k1t___,2023-01-26 08:13:33+00:00
1,"мене не добавляють у різні списочки по типу ""гівножуйки"" я не хот🥹/сарк","мене не добавляють у різні списочки по типу ""гівножуйки"" я не хот🥹",__k1t___,2023-01-24 09:41:07+00:00
1,@sorixben можу стати 😇/сарк,@sorixben можу стати 😇,__k1t___,2023-01-21 07:49:32+00:00
1,"НІХУЯ ОЦЕ ТАК
Я ЗАРАЗ ЗАПЛАЧУ ВІД РАДОЩІВ/сарк
МЕНЕ РОЗБАНИЛИ ЧЕРЕЗ ДЕСЬ ТРИ МІСЯЦІ 
ТА ВАЩЕ ЖЕСТЬ","НІХУЯ ОЦЕ ТАК
Я ЗАРАЗ ЗАПЛАЧУ ВІД РАДОЩІВ
МЕНЕ РОЗБАНИЛИ ЧЕРЕЗ ДЕСЬ ТРИ МІСЯЦІ 
ТА ВАЩЕ ЖЕСТЬ",__love__boobs,2023-02-18 06:35:44+00:00
1,"А можна я пройду скорочену програму,а не бігати по отому всьому з супер ахуєнною командою і мільярдною шкодою/сарк?","А можна я пройду скорочену програму,а не бігати по отому всьому з супер ахуєнною командою і мільярдною шкодою?",__love__boobs,2023-02-07 08:47:55+00:00
1,"@PatrolStag Угу. То в нього такий хитрий план був (Зібрати все лайно у ВР), а потім по-македонськи... #сарказм","@PatrolStag Угу. То в нього такий хитрий план був (Зібрати все лайно у ВР), а потім по-македонськи... ",__mr_M_,2019-07-24 18:03:57+00:00
1,"@kalinizaurus ""Бігом закопуй поки активісти-історики не набігли"" [sarcasm]","@kalinizaurus ""Бігом закопуй поки активісти-історики не набігли"" ",_2y2y_,2021-12-16 14:49:57+00:00
1,Бож наші БОГИ смішнявок сьогодні дуж круто шуткували (сарказм),Бож наші БОГИ смішнявок сьогодні дуж круто шуткували,_an1ly_,2015-09-01 13:19:23+00:00
1,@taka_pivnyk почитала і все одразу зрозуміло стало:) #сарказм,@taka_pivnyk почитала і все одразу зрозуміло стало:),_angie_k,2014-07-11 19:11:11+00:00
1,"Наш фізик просто ахуєнний люблю його☺️☺️☺️
*НАСТІЛЬКИ ЖОСТКА ІРОНІЯ, ЩО АЖ ПЕРЕХОДИТЬ СУКА В САРКАЗМ*",Наш фізик просто ахуєнний люблю його☺️☺️☺️,_au_ror_a__,2022-03-22 17:07:00+00:00
1,"@AngryEwok1138 Ну знаєте, усілякі подібні думки притаманні ТІЛЬКИ лібералам! /Сарк","@AngryEwok1138 Ну знаєте, усілякі подібні думки притаманні ТІЛЬКИ лібералам! ",_Cambria_Light_,2023-02-14 08:32:35+00:00
1,"@bioravlyk Ви що, забороняєте жінкам народжувати???? Сексистка! /Сарк","@bioravlyk Ви що, забороняєте жінкам народжувати???? Сексистка! ",_Cambria_Light_,2023-01-30 14:49:17+00:00
1,"Аааа... каєф просто
Обожнюю своїх одногрупників за ігнор 
Просто супер

#сарказм","Аааа... каєф просто
Обожнюю своїх одногрупників за ігнор 
Просто супер

",_DaddysFlower_,2017-09-06 16:57:46+00:00
1,"Мммм, супер
Вирубали світло у гуртожитку
Прекрасно
Люблю таке
👍

#сарказм","Мммм, супер
Вирубали світло у гуртожитку
Прекрасно
Люблю таке
👍

",_DaddysFlower_,2017-10-18 22:27:13+00:00
1,"Це ще один твіт в якому я пишу як я ненавижду свою англічанку.Мала прийти на 10 год,канєшно, що вона так і прийшла.Як жаль, що це сарказм","Це ще один твіт в якому я пишу як я ненавижду свою англічанку.Мала прийти на 10 год,канєшно, що вона так і прийшла.",_dark_side__,2014-05-02 11:58:37+00:00
1,"Роблю інгліш з мед хедс. #np med heads xl - п'ятниця .Канєшно, що я вивчу інгліш.#сарказм","Роблю інгліш з мед хедс. #np med heads xl - п'ятниця .Канєшно, що я вивчу інгліш.",_dark_side__,2014-05-02 18:59:22+00:00
1,"@OTorvaldBand а ну так, де вам до бібера, ви ще не доросли лол #сарказм","@OTorvaldBand а ну так, де вам до бібера, ви ще не доросли лол ",_dark_side__,2014-12-04 16:05:22+00:00
1,вміють же люди підняти настрій....(#сарказм),вміють же люди підняти настрій....,_dead_banana,2012-08-25 13:39:34+00:00
1,"Просто якщо зірветься, сидячи більше шансів вижити. Завжди так роблю )","Просто якщо зірветься, сидячи більше шансів вижити. Завжди так роблю )",_dopeless,2022-01-13
